JTAG UART link established using cable "USB-Blaster [USB-0]", device 1, instance 0x00
=== CALIBRATION DES CAPTEURS ===
1. Posez le robot sur le BLANC.
2. Regardez les valeurs.
3. Posez le robot sur le NOIR.
--------------------------------
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 38 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 38
C0: 63 | C1: 49 | C2: 49 | C3: 50 | C4: 47 | C5: 49 | C6: 63
C0: 26 | C1: 15 | C2: 13 | C3: 15 | C4: 13 | C5: 12 | C6: 26
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 40
C0: 39 | C1: 19 | C2: 22 | C3: 25 | C4: 19 | C5: 17 | C6: 39
